task,step,progress,filename,source_path,dest_path,is_new,is_updated,pruned_count
cheetah-run-back,5000000,100.0,cheetah-run-back_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cheetah-run-back/20251216_134041_expert_cheetah-run-back/wandb/run-20251216_134129-hobwwlmk/files/media/videos/videos/eval_video_5000000_ce5e64f6c6d38cc9cf96.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cheetah-run-back_5000000.mp4,False,False,0
cheetah-run-backward,5000000,100.0,cheetah-run-backward_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cheetah-run-backward/20251217_100645_expert_cheetah-run-backward/wandb/run-20251217_100748-sqnz9w13/files/media/videos/videos/eval_video_5000000_527a3771a7e68470299d.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cheetah-run-backward_5000000.mp4,False,False,0
cheetah-run-front,5000000,100.0,cheetah-run-front_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cheetah-run-front/20251216_011340_expert_cheetah-run-front/wandb/run-20251216_011440-lxw6iv6x/files/media/videos/videos/eval_video_5000000_8e902294d20303fefdf8.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cheetah-run-front_5000000.mp4,False,False,0
cup-catch,5000000,100.0,cup-catch_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cup-catch/20251218_092422_expert_cup-catch/wandb/run-20251218_092523-2nyk17wr/files/media/videos/videos/eval_video_5000000_a04474f59dac82962237.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cup-catch_5000000.mp4,False,False,0
cup-spin,5000000,100.0,cup-spin_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/cup-spin/20251216_011341_expert_cup-spin/wandb/run-20251216_011442-zdymzid4/files/media/videos/videos/eval_video_5000000_a680db19ab0b0386526d.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/cup-spin_5000000.mp4,False,False,0
finger-spin,5000000,100.0,finger-spin_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/finger-spin/20251216_011351_expert_finger-spin/wandb/run-20251216_011459-u80ayx8d/files/media/videos/videos/eval_video_5000000_b3e6bc2b612993518476.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/finger-spin_5000000.mp4,False,False,0
finger-turn-easy,5000000,100.0,finger-turn-easy_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/finger-turn-easy/20251216_011351_expert_finger-turn-easy/wandb/run-20251216_011459-38cx8vht/files/media/videos/videos/eval_video_5000000_b23563eaffbcf61a9f52.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/finger-turn-easy_5000000.mp4,False,False,0
finger-turn-hard,5000000,100.0,finger-turn-hard_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/finger-turn-hard/20251216_011333_expert_finger-turn-hard/wandb/run-20251216_011427-dq4rtz1w/files/media/videos/videos/eval_video_5000000_af6fa81e56ca1814dd93.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/finger-turn-hard_5000000.mp4,False,False,0
fish-swim,5000000,100.0,fish-swim_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/fish-swim/20251217_083733_expert_fish-swim/wandb/run-20251217_083827-bfftow3z/files/media/videos/videos/eval_video_5000000_faffea4c3a2a54ddb10a.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/fish-swim_5000000.mp4,False,False,0
giraffe-run,5000000,100.0,giraffe-run_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/giraffe-run/20251216_011341_expert_giraffe-run/wandb/run-20251216_011443-0tyo7fvl/files/media/videos/videos/eval_video_5000000_5a4a46a98d36bc67bdc7.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/giraffe-run_5000000.mp4,False,False,0
hopper-hop,5000000,100.0,hopper-hop_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/hopper-hop/20251217_100711_expert_hopper-hop/wandb/run-20251217_100800-v5hcr3xh/files/media/videos/videos/eval_video_5000000_6b082056a56f72b5ed15.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/hopper-hop_5000000.mp4,False,False,0
hopper-hop-backward,5000000,100.0,hopper-hop-backward_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/hopper-hop-backward/20251217_094830_expert_hopper-hop-backward/wandb/run-20251217_094924-qeze0b08/files/media/videos/videos/eval_video_5000000_74a7675631829ee60ec0.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/hopper-hop-backward_5000000.mp4,False,False,0
hopper-stand,5000000,100.0,hopper-stand_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/hopper-stand/20251216_011347_expert_hopper-stand/wandb/run-20251216_011455-te5it87p/files/media/videos/videos/eval_video_5000000_f680a94ba5e7dc6694b1.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/hopper-stand_5000000.mp4,False,False,0
jumper-jump,5000000,100.0,jumper-jump_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/jumper-jump/20251216_011341_expert_jumper-jump/wandb/run-20251216_011441-uj41cg5q/files/media/videos/videos/eval_video_5000000_72ba6c90710de3d20690.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/jumper-jump_5000000.mp4,False,False,0
lunarlander-hover,5000000,100.0,lunarlander-hover_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/lunarlander-hover/20251227_022445_eval_20251226_215921_expert_lunarlander-hover/wandb/run-20251227_022448-5et70xnu/files/media/videos/videos/eval_video_0_a2f2bef53561d68d40c7.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/lunarlander-hover_5000000.mp4,False,False,0
